name,description,ingredients,url
Easy Cá Kho (Vietnamese Braised & Caramelized Catfish),"Cá Khois a staple of Vietnamese home cooking, celebrated for its tender fish infused with the rich flavors of caramelized sauce. When prepared and served in a traditional clay pot, it transforms intoCá Kho Tộ, offering a rustic charm that elevates this comforting dish.","1 pound catfish steaks (fresh or frozen) (450g)
3 tbsp fish sauce (adjust to taste)
1½ tbsp granulated sugar (for the marinade, adjust to taste)
½ tsp salt (adjust to taste)
½ tbsp granulated sugar (for caramelizing; can be substituted with Vietnamese caramel sauce, dark soy sauce, or molasses)
1 tbsp cooking oil
1 tbsp sliced white part of scallion or shallots
½ tbsp peppercorns
Boiling water",https://savourthepho.com/ca-kho-recipe/
Authentic Bún Mắm | Vietnamese Fermented Fish Noodle Soup,"Bún Mắm, short for Bún Mắm Miền Tây, is a rich and flavorful noodle soup from Vietnam’s Mekong Delta. Beloved by locals in Southern Vietnam, this hearty dish is still relatively unknown outside the country. Though making Bún Mắm is straightforward, achieving its authentic taste requires some insider tips from the region.","½ cup Mắm Cá Linh (salted dorab fish) (150g) (adjust to taste). If using only one type of Mắm , use 1 cup (300g).
½ cup Mắm Cá Sặc (salted gourami fish) (150g) (adjust to your taste)
¼ pineapple
4 cup coconut water (1 liter) – can substitute with water and a bit more sugar.
8 cup water (2 liter)
5 stalks lemongrass
1 small bunch fingerroot (krachai, ngải bún)
1 tbsp minced lemongrass
1 tbsp minced shallot
3 tbsp granulated sugar (season to taste)
½ tbsp MSG (optional)
⅔ pound frozen fish paste (300g) – see Note 1 for substitutes.
½ tbsp chicken powder (if the fish paste is not pre-seasoned).
½ tbsp minced shallots or the white part of a green onion
6 red goat horn chilies.
Cooking oil (for frying)
½ pound shrimp
½ pound squid (cleaned and sliced)
½ pound crispy roasted pork belly (or plain pork belly)
½ pound fish fillet (catfish or red tilapia) (optional)
1 package Bún rice noodles
Shredded water spinach (or substitutes like red cabbage, banana blossoms, etc.)
1 Eggplant (cut into big chunks)",https://savourthepho.com/bun-mam-mien-tay/
Cao Lầu (Hoi An’s Braised Pork Noodle Bowl),"Cao Lầu, the thick noodle bowl featuring 5-spice braised pork, is a must-try delicacy when exploring the enchanting Hoi An ancient town in central Vietnam. Preparing Cao Lầu outside Vietnam is a challenge; however, I'm dedicated to capturing its essence in my kitchen in Germany.","1 pound pork belly (ham cuts, pork butt, pork shoulder) (450g)
3 tbsp all-purpose soy sauce (to your taste)
1 tbsp granulated sugar (to your taste)
1 tsp chicken powder (to your taste)
1 tbsp minced garlic (or 1 tsp garlic powder)
1 tbsp minced shallot (or 1 tsp onion powder)
1 tsp five-spice powder (Vietnamese five-spice powder works best)
2 tbsp annatto oil (or 2tbsp cooking oil + 1/2 tbsp paprika powder)
1 cup water (250ml)
Cao Lầu Dry Noodles (substituted with Udon Noodles or Egg Noodles)
Cao Lầu Crackers (Bánh Ram) (substituted with Wonton Wrappers)
Vegetables (lettuce, baby mustard greens, mung bean sprouts, cucumber…) (use what you have on hand)
Herbs (peppermint – must-have, Thai basil, cilantro, purple perilla…)
Green chilis (jalapeño, Korean green chili peppers)
Lime",https://savourthepho.com/cao-lau-hoi-an/
Easy Vietnamese Caramelized Ginger Chicken (Gà Kho Gừng),"Gà Kho Gừng (Vietnamese Ginger Chicken)is a favorite in many Vietnamese families. Each mom has her own take on this caramelized chicken, but my mom's recipe stands out for being easy, delicious, and ready in under 20 minutes.","1 chicken leg quarter (cut into bite-sized pieces) (chicken wings, drumpsticks)
1½ tbsp fish sauce (to you taste)
½ tbsp granulated sugar (to you taste)
1 tbsp oyster sauce (to you taste)
½ tbsp Sriracha Sauce (optional)
1 tbsp cooking oil
½ tbsp granulated sugar (to make caramel sauce)
1 tbsp minced garlic
1 thumb-sized piece ginger (peeled, cut into thin stripes)
Finely chopped scalions (optional)
Sliced chili (optional)",https://savourthepho.com/vietnamese-caramelized-ginger-chicken/
Vietnamese 5-Spice Roasted Chicken – Cornish Hen Edition,"Vietnamese Roasted Chicken (Gà Nướng)is a well-loved and simple Vietnamese poultry dish. This time, I chose a Cornish game hen – It's tender, juicy, and just the right size for a couple's meal.","1 Cornish Game Hen (2.4 pound or 1.1 kg)
2 tbsp all-purpose soy sauce
1 tbsp chicken powder
1 tbsp oyster sauce
1 tbsp paprika powder (optional, just for color)
1 tbsp Sriracha sauce
1 tbsp garlic powder
3½ tbsp condensed milk
1½ tbsp cooking oil
½ tbsp salt
1 tsp black pepper powder
1½ tbsp sugar
1 tbsp condensed milk
2 tbsp lemon/lime juice
½ tbsp water
½ kaffir leave/lime leave",https://savourthepho.com/vietnamese-roasted-chicken-ga-nuong/
Thạch Rau Câu Flan Cà Phê (Vietnamese Coffee Flan Jelly),"Thạch Rau Câu (Vietnamese jelly)has always been a beloved treat for Vietnamese kids, but this version takes it to the next level by combining two classics—coffee and flan. This layered dessert is super popular in Vietnam, not only for its delicious flavor but also for its striking layers.","25 g agar agar powder (1 packet)
1500 ml water (~6.3 US cup)
300 g granulated sugar (~1½ US cup)
½ tsp salt
½ portion Agar Agar mixture (approx. 900 g or 750 ml, ~3.15 US cups)
5 egg yolks
175 g sweetened condensed milk (~¾ US cup)
7 pieces Laughing Cow Cheese (or 3.5 oz/100 g cream cheese, optional)
500 ml whole milk (~2.1 US cup)
½ portion Agar Agar mixture (approx. 900 g or 750 ml, ~3.15 US cups)
500 ml coffee (made with 15 g or 0.5 oz instant coffee mixed with 500 ml, or 2.1 US cups, of water)
50 g granulated sugar (~⅓ US cup)",https://savourthepho.com/vietnamese-coffee-flan-jelly/
Vietnamese Scallion Oil (Mỡ Hành),Make flavorfulVietnamese scallion oilat home with just four simple ingredients. It's a versatile condiment that could help enhance the flavors of various Vietnamese recipes.,"2 sprigs green onion (chopped)
¼ cup neutral oil (60 ml/4 tbsp)
1 pinch Salt
1 pinch Sugar",https://savourthepho.com/vietnamese-scallion-oil-recipe/
My Mom’s Canh Chua (Vietnamese Sweet & Sour Soup),"Canh Chua (Vietnamese sweet and sour soup)is the refreshing and comforting soup originating from the Mekong Delta of Vietnam. Quick and easy to cook, it's a must-try for any fans of Vietnamese traditional cuisine.","1 pound fish (catfish, salmon, mackerel, tilapia) (fish heads, fillet or steak with bone and skin attached)
1 cup pineapple chunks (fresh or canned) (about 1/4 a small pineapple)
2 tomatoes (cut into thick wedges)
2 oz tamarind paste (55g) (to your taste) (or tamarind concentrate/powder)
3 cup beansprouts
1 cup shedded banana blossoms (optional)
2 elephant ear stalks (peeled, cut diagonally into 1/2-inch or 1 cm pieces)
5 okras (optional) (the stem ends trimmed, cut into 1/4-inch or 0.5 cm pieces)
1.5 tbsp sugar (to your taste)
2 tbsp fish sauce (to your taste)
½ tbsp chicken powder (to your taste)
5 cup boiling water (1.2 liter)
Thai chilies (thinly sliced)
1 handful rice paddy herbs (ngò om/rau ngổ) (finely chopped) (highly recommend)
1 handful sawtooth coriander, lemon basil, Thai basil (finely chopped) (substituted for paddy herbs)
1 tbsp fried garlic (or fried shallots) (optional)",https://savourthepho.com/vietnamese-sweet-sour-soup-canh-chua/
Instant Pot Chicken Pho – Authentic Hanoi Phở Gà,"ThisInstant Pot Chicken Phois both quick and easy, yet still captures the authentic flavor of Hanoi-style chicken pho.","3 onions (unpeeled)
2 shallots (unpeeled)
4-inch (10 cm) section fresh ginger (unpeeled)
¼ cup coriander seeds
1 tbsp peppercorns
3 lime / kaffir leaves
3 scallion roots (optional)
A handful cilantro roots / stems (optional)
1 tsp fennel seeds (optional)
1 small cinnamon stick (optional)
1 black cardamom pod (optional)
3 star anise pods (optional)
1 whole free-walking chicken / old hen (or 4 chicken leg quarters)
2.5 lbs pork bones / chicken bones (1.1 kg)
2 quarts water (2 liter)
1 tbsp salt
4 tbsp High-quality fish sauce (to your taste)
1 tbsp rock sugar (or 1/2 tbsp granulated sugar)
2 tbsp salt / chicken powder (to your taste)
½ tbsp MSG (optional)
Phở rice noodles (flat rice noodles for Northern Phở)
Bean sprouts
Chili (Thai Chili or Jalapeno)
Lime
Herbs (Thai basil, cilantro, culantro…)
Chili sauce (Sriracha)
Quẩy (Youtiao or Chinese donut sticks) (optional)",https://savourthepho.com/instant-pot-chicken-pho/
Cơm Cháy (Vietnamese Scorched Rice),"Cơm Cháyis the irresistible golden rice crust that forms at the bottom of the pot—a crackling, crunchy delight that’s both satisfying and snackable. With its addictive crispness and subtle, nutty flavor,cơm cháyshines on its own or as the perfect crispy pairing for many Vietnamese savory dishes.","2 cup steamed rice (jasmine rice, sticky rice, or a mix of both)
Water",https://savourthepho.com/vietnamese-scorched-rice/
"Phở Bò Sốt Vang – The Rich, Red Wine Twist on Phở","Hailing from Hanoi,Phở Bò Sốt Vang (Red Wine Beef Stew Pho)is a renowned delight. A must for Phở lovers, it boasts tender beef, flavorful broth, pho spices' aroma, and a luxurious wine sauce.","2 lbs stew-friendly beef (beef shank, beef chuck, beef brisket, oxtail, and bone-in short ribs) (1 kg)
3-5 tomatoes
1 tbsp paprika powder
1 cup red wine (250ml)
1 black cardamom
1 stick cinnamon
3 star anises
5 bay leaves
1 tbsp pepper corns
1 tbsp minced garlic
1 tbsp minced shallot
1 tbsp minced ginger
2 tbsp chicken powder (to your taste)
4 tbsp fish sauce (to your taste)
½ tbsp sugar (to your taste)
½ tbsp salt (to your taste)
1 tbsp cornstarch
1 tbsp water",https://savourthepho.com/vietnamese-beef-stew-pho-bo-sot-vang/
Authentic Bún Chả (Hanoi Grilled Pork Noodles),"Bún Chả Hà Nộiis a specialty of Hanoi, Vietnam's capital city. It has captured the hearts of President Barack Obama and Chef Anthony Bourdain. Creating authentic Bún Chả at home is much easier than you might imagine.","1 pound pork belly (450g) (without skin)
1 pound ground pork (450g)
2 tbsp chopped white parts of the scallion
2 tbsp chopped green parts of the scallion
2 tbsp minced shallot
1 tbsp minced garlic
6 tbsp fish sauce
3 tbsp sugar
2 tbsp oyster sauce
1 tsp black pepper powder
2 tbsp Vietnamese caramel sauce
2 tbsp cooking oil
0.3 pound carrot (150g)
0.3 pound green papaya (150g) (or kohlrabi)
1 tsp salt
2 tbsp sugar
2 tbsp rice vinegar (or distilled vinegar, apple cider vinegar)
3 tbsp fish sauce
15 tbsp water (230ml)
¾ tbsp rice vinegar
¾ tbsp lime juice
3 tbsp sugar
minced garlic (to your taste)
minced chili (to your taste)
black pepper powder (to your taste)
1 pack rice vermicelli noodles
Salad
Vietnamese herbs (perilla, Vietnamese balm, cilantro…)",https://savourthepho.com/bun-cha-hanoi/
Hủ Tiếu Bò Kho/Phở Bò Kho (Vietnamese Beef Stew Noodles),"Bò Kho: Effortless, authentic, and bursting with flavor—Vietnamese beef stew featuring tender beef, carrots, and onions in a broth infused with lemongrass. Quick and easy with the Instant Pot or on the stovetop.","2.2 pound Beef shank (Beef chuck, beef brisket, oxtail) (1 kg)
1 tbsp minced garlic
1 tsp Vietnamese 5-spice powder (you can substitue all 5-spice powder and Vietnamese curry powder with 2 tsp Bò Kho Seasoning Powder)
1 tsp Vietnamese Curry Powder
1 tbsp chicken powder
2 tbsp fish sauce
½ tbsp salt
2 tbsp annatto oil (optional)
5 stalks lemongrass
1 tbsp minced shallots (optional)
1 thumb-sized piece ginger
1 tbsp ketchup (optional)
2 small sticks cinnamon
1 pod star anise
½ large onion
2 medium-sized carrots
4 Cup coconut water (or water) (1 liter)
Chicken Powder, Salt, Sugar (adjust to taste)
Hu Tieu Noodles (Pho Noodles, Baguette)
Thai Basils
Bean Sprouts
Lime
Sawtooth coriander (optional)
Vietnamese lime pepper dipping sauce (muối tiêu chanh)",https://savourthepho.com/hu-tieu-bo-kho-instant-pot-vietnamese-beef-stew/
Bún Bò Xào / Bún Bò Nam Bộ (Beef Vermicelli Salad),"Bún Bò Xào / Bún Bò Nam Bộ– Quick & easy Vietnamese meal with fresh herbs, flavorful lemongrass beef, rice noodles, and sweet – tangy fish sauce. Preparation takes less than 30 minutes, yet this dish exceeds all expectations.","3 tbsp fish sauce
3 tbsp sugar
6 tbsp hot water
1 tsp rice vinegar (5%)
Minced garlic
Minced chili
0.7 pound beef (top round steak, flank steak, sirloin, strip, and rib-eye cuts) (320g)
1½ tbsp soy sauce
1 tbsp oyster sauce
½ tsp sugar
½ tbsp cornstarch
1 tbsp cooking oil
1 stalk lemongrass (finely chopped)
1 tbsp minced garlic
1 onion (thinly sliced)
1 cup mung bean sprouts (100g)
Dry or fresh rice vermicelli
Lettuce
Cucumber
Herbs (mint, cilantro…)
Vietnamese Scallion Oil (Mỡ hành) (optional)
Vietnamese Pickled Carrot and Daikon (Đồ chua) (optional)
Fried Shallots (optional)
Roasted Peanuts (optional)",https://savourthepho.com/bun-bo-xao-vietnamese-beef-noodle-salad/
No-Raw-Egg Vietnamese Mayo/Butter (Bơ),"Thisno-raw-egg mayois an excellent alternative to traditional Vietnamese mayo forBánh Mìsandwiches. It’s safer, lighter, and lower in fat, all while delivering the same delicious flavor.","1 egg yolk
0.42 cup water (100ml)
2 tsp cornstarch
¼ tsp salt
¾ tbsp granulated sugar (Add more sugar if you're preparing the sauce for sweet buns.)
2½ tbsp butter (40g)
¼ tsp garlic powder/onion powder (optional)",https://savourthepho.com/no-raw-egg-vietnamese-mayo/
How To Make Vietnamese Sweet Coconut Sauce (Nước Cốt Dừa),"Nước Cốt Dừais the creamy, sweet coconut sauce that elevates Vietnamese desserts. Made by gently simmering coconut milk with sugar, a pinch of salt for balance, and a touch of starch to thicken, it’s the secret to the rich, velvety finish in many beloved treats.","1 small can coconut milk (full fat) (160ml/5.4 fl oz)
1 tbsp granulated sugar
¼ tsp salt
1 tbsp tapioca starch/cornstarch (for the slurry)
1 tbsp water (for the slurry)
Pandan leaves (optional)
1 big can coconut milk (full fat) (400ml/13.5 fl oz)
2½ tbsp granulated sugar
½ tsp salt
2 tbsp tapioca starch/cornstarch (for the slurry)
2 tbsp water (for the slurry)
Pandan leaves",https://savourthepho.com/vietnamese-coconut-sauce/
Very Best Vietnamese Flan (Bánh Flan),"Vietnamese Flan (Bánh Flan/Kem Flan)is my favorite childhood sweet. Made from eggs and sweetened condensed milk, this luxurious, velvety, creamy dessert is sure to captivate your heart.","3 eggs (large-sized eggs)
1½ cup full-cream milk (375ml)
½ cup sweetened condensed milk (125ml/120g)
½ tsp vanilla extract
5 tbsp granulate sugar (80g)
1 tbsp water
Vietnamese Iced Coffee (Cà Phê Sữa Đá)
Crushed ice (optional)",https://savourthepho.com/vietnamese-flan/
Salted Coffee (Vietnamese Cà Phê Muối),"From Huế, Vietnam's former imperial capital,Cà Phê Muối (Vietnamese Salt Coffee)is making waves in the local coffee scene. I'm sure it'll win over every fan of Vietnamese cuisine.","2 shots strong Vietnamese coffee (about 2 oz / 60 ml)
1½ tbsp sweetened condensed milk
Ice cubes
½ cup whipping cream / heavy cream (120ml)
1 tbsp icing sugar
¼ tsp salt",https://savourthepho.com/vietnamese-salt-coffee-ca-phe-muoi/
Easy Vietnamese Pandan Waffles (Bánh Kẹp Lá Dứa),"Vietnamese Pandan Waffles (Bánh Kẹp Lá Dứa)are a beloved snack in Vietnam. They are the combination of textures, with a crispy exterior and a soft, chewy interior that sets them apart from traditional Western-style waffles.","3 eggs (L size)
2 cup rice flour (280g)
½ cup all-purpose flour (75g)
½ cup tapioca starch (75g)
1 can coconut milk (400ml/14 oz)
⅞ cup sugar (175g)
1 tbsp cooking oil
½ tsp salt
½ tsp pandan extract
1½ tsp baking powder",https://savourthepho.com/how-to-make-pandan-waffles-banh-kep-la-dua-recipe/
Vietnamese Chicken Salad (Gỏi Gà/Gà Bóp),"Vietnamese Chicken Saladis a favorite at family gatherings in Vietnam. It's light, refreshing, and full of vibrant flavors. Here is the Central Vietnamese version, made with chicken, onion, Vietnamese coriander, and no fish sauce.","2 pound poached chicken (900g)
3 onions (thinly sliced)
2 tsp granulated sugar (for the onion)
2 tbsp lime juice (for the onion)
Iced water (for the onion)
2 big handful Vietnamese coriander (rau răm)
3 tsp salt (to your taste)
2 tsp granulated sugar (to your taste)
2 tbsp lime juice (to your taste)
¼ tsp MSG (optional)
½ tsp ground pepper (to your taste)
Chili slices (to your taste)",https://savourthepho.com/vietnamese-chicken-salad/
Mom’s Secret Cà Ri Gà – Comforting Vietnamese Chicken Curry,"Cà Ri Gà(Vietnamese Chicken Curry)is a comforting Southern Vietnamese classic that can turn an ordinary day into something special. Though it may seem simple, creating a truly memorableCà Ri Gàrequires a touch of skill and care.","1.7 pound bone-in chicken (cut into bite-sized pieces) (800g)
1½ tbsp Vietnamese curry powder (see Note 1 for substitutions)
1 tbsp Vietnamese curry oil paste (see Note 1 for substitutions)
1 tbsp mild chili powder (such as paprika or gochugaru)
1 tbsp chicken powder (for the marinade)
1 tsp salt (for the marinade)
2 tbsp coconut milk (full-fat) (for the marinade)
3 stalks lemongrass (bruised)
1 tbsp minced garlic
1 tbsp minced shallots
5 dried curry leaves (optional)
1 small carrot (about 200g/0.45 lb)
1 small sweet potato (about 300g/⅔ lb)
½ taro root (about 300g/⅔ lb)
½ onion (cut into wedges)
1¼ cup coconut milk (full-fat) (about 300ml)
2 tbsp sweetened condensed milk (highly recommended)
2 tbsp cooking oil
Salt (to taste)
Chicken powder (to taste)
Rice noodles (Bún) or Baguette
Herbs (Thai basil, sawtooth herbs)
1 tbsp Salt
1 tbsp Sugar
¼ tsp MSG (optional)
Red chili (to taste)
Lime juice (to taste)",https://savourthepho.com/vietnamese-chicken-curry/
Vietnamese Lemongrass Pork Chops (Suon Nuong),"Vietnamese Grilled Lemongrass Pork Chops (Sườn Nướng)are the heart and soul of the popular Vietnamese dish Cơm Tấm (Broken Rice plate). With many tips I learned from a lunch lady who has been cooking and selling cơm tấm for 30 years in Saigon, you can easily whip up this recipe and enjoy the truly authentic flavor at home.","0.8 lb pork chops (350g)
2 tbsp fish sauce
2 tbsp Vietnamese Sate Sauce (or 1 tbsp finely minced lemongrass + 2 tbsp annatto oil)
2 tbsp honey
1 tsp Vietnamese five-spice powder
4 tbsp full-cream milk
Vietnamese scallion oil
Vietnamese dipping fish sauce
Vietnamese pickled carrots and daikon",https://savourthepho.com/com-suon-nuong-vietnamese-lemongrass-pork-chops/
Nước Mắm Gừng (Vietnamese Lime Ginger Fish Sauce),"Nước Mắm Gừngis a popular dipping sauce in Vietnam. Made from fish sauce, ginger, and lime juice, it's numbing, hot, spicy, sweet, and tangy. This dipping sauce is a must for many Vietnamese seafood and poultry dishes.","3 tbsp fish sauce (to your taste)
2½ tbsp sugar (to your taste)
2 tbsp water
½ tsp lime juice (or vinegar)
2 slices ginger (15g)
1 Thai Bird's eye chili",https://savourthepho.com/nuoc-mam-gung/
How to Make Giò Sống (Vietnamese Pork Sausage Paste),"Giò Sống (Vietnamese sausage pork paste)is a basic ingredient in Vietnamese cuisine. Making Giò Sống at home is far simpler than you might imagine, even with just a mini food processor.","1 pound ground pork (450g)
1½ tbsp fish sauce
1 tsp chicken powder
2 tsp sugar
2 tbsp potato starch (tapioca starch, cornstarch)
3.5 tbsp cooking oil
½ tsp baking powder (Alsa or Dr. Oetker)
½ tsp garlic powder (or onion powder)
4 tbsp water",https://savourthepho.com/gio-song/
Coconut Chicken (Vietnamese Gà Roti),"Gà Roti, a delightful Vietnamese dish from South Vietnam, offers succulent, savory & sweet chicken with rice. The luscious sauce strikes a perfect balance of sweet and savory flavors, capturing hearts everywhere.","1.1 pound deboned chicken thighs (500g)
½ cup coconut water (125ml)
¼ tsp Vietnamese five-spice powder
2 tbsp soy sauce
1 tbsp fish sauce
1 tbsp oyster sauce
1 tbsp sugar
1 tbsp minced garlic
1 tbsp minced shallots",https://savourthepho.com/com-ga-roti-vietnamese-rotisserie-chicken/
Bánh Bò Hấp – Vietnam’s Beloved Steamed Rice Cakes,"Bánh Bò Hấpfrom Vietnam’s Mekong Delta is soft, chewy, and coconut-infused. Naturally gluten-free, this spongy treat is a must-try!","14.1 oz Bánh Bò flour (unsweetened, Vĩnh Thuận brand) (400g) see Note 1 for substitutes
1 tsp instant yeast (3g) already included in the flour mix
1⅔ cup full-fat coconut milk (400ml) see Note 2 for substitutes
1⅔ cup coconut water (400ml) see Note 3 for substitutes
1 cup palm sugar (220g) see Note 4 for substitutes
2 tbsp coconut oil (or substitute with cooking oil or melted butter)
1 can coconut milk (full fat) (400ml/13.5 fl oz)
2½ tbsp granulated sugar
½ tsp salt
2 tbsp tapioca starch/cornstarch",https://savourthepho.com/banh-bo-hap-recipe/
